system,prompt_style,top_k,n,hf_em,hf_f1,phase,embedding_model,embedding_dim,selection
naive,instruction,1,918,31.808278867102395,39.30382379028197,,,,
naive,persona,1,918,16.55773420479303,26.1349666677519,,,,
naive,cot,1,918,0.0,11.2282267946252,,,,
naive,instruction,10,918,32.570806100217865,42.6353406931994,phase4,all-MiniLM-L6-v2,384.0,concat
naive,instruction,10,918,32.13507625272331,42.32506520119277,phase4,multi-qa-MiniLM-L6-cos-v1,384.0,concat
naive,instruction,5,918,30.93681917211329,40.62624594980791,phase4,all-MiniLM-L6-v2,384.0,concat
naive,instruction,10,918,30.392156862745097,40.14908363472905,phase4,paraphrase-MiniLM-L3-v2,384.0,concat
naive,instruction,3,918,30.392156862745097,39.994162468376345,phase4,multi-qa-MiniLM-L6-cos-v1,384.0,concat
naive,instruction,5,918,30.28322440087146,39.82062491618242,phase4,multi-qa-MiniLM-L6-cos-v1,384.0,concat
naive,instruction,3,918,31.808278867102395,39.303823790281974,phase4,all-MiniLM-L6-v2,384.0,first
naive,instruction,5,918,31.808278867102395,39.303823790281974,phase4,all-MiniLM-L6-v2,384.0,first
naive,instruction,10,918,31.808278867102395,39.303823790281974,phase4,all-MiniLM-L6-v2,384.0,first
naive,instruction,3,918,29.084967320261438,38.982165948155235,phase4,all-MiniLM-L6-v2,384.0,concat
naive,instruction,3,918,29.847494553376908,37.86120118286372,phase4,multi-qa-MiniLM-L6-cos-v1,384.0,first
naive,instruction,5,918,29.847494553376908,37.86120118286372,phase4,multi-qa-MiniLM-L6-cos-v1,384.0,first
naive,instruction,10,918,29.847494553376908,37.86120118286372,phase4,multi-qa-MiniLM-L6-cos-v1,384.0,first
naive,instruction,5,918,28.21350762527233,37.81082853197389,phase4,paraphrase-MiniLM-L3-v2,384.0,concat
naive,instruction,3,918,29.084967320261438,36.45227954758847,phase4,paraphrase-MiniLM-L3-v2,384.0,first
naive,instruction,5,918,29.084967320261438,36.45227954758847,phase4,paraphrase-MiniLM-L3-v2,384.0,first
naive,instruction,10,918,29.084967320261438,36.45227954758847,phase4,paraphrase-MiniLM-L3-v2,384.0,first
naive,instruction,3,918,26.688453159041394,35.661057114004734,phase4,paraphrase-MiniLM-L3-v2,384.0,concat
naive,instruction,3,918,18.845315904139433,22.82990887368353,phase4,multi-qa-MiniLM-L6-cos-v1,384.0,best_by_len
naive,instruction,3,918,18.51851851851852,22.792743653777222,phase4,paraphrase-MiniLM-L3-v2,384.0,best_by_len
naive,instruction,5,918,19.934640522875817,22.56637797497931,phase4,all-MiniLM-L6-v2,384.0,best_by_len
naive,instruction,3,918,19.06318082788671,22.487354094631357,phase4,all-MiniLM-L6-v2,384.0,best_by_len
naive,instruction,10,918,19.934640522875817,22.457178029148274,phase4,all-MiniLM-L6-v2,384.0,best_by_len
naive,instruction,5,918,19.17211328976035,22.236072930109653,phase4,paraphrase-MiniLM-L3-v2,384.0,best_by_len
naive,instruction,5,918,18.845315904139433,21.823778164470717,phase4,multi-qa-MiniLM-L6-cos-v1,384.0,best_by_len
naive,instruction,10,918,19.06318082788671,21.659444624831938,phase4,multi-qa-MiniLM-L6-cos-v1,384.0,best_by_len
naive,instruction,10,918,18.40958605664488,21.167533522837854,phase4,paraphrase-MiniLM-L3-v2,384.0,best_by_len
